Id,eng,ara
27219, Farnsworth, فارنسورث
27220, Faro, فارو
27221, Farrago, الحباشات
27222, Farragoes, الحباشات
27223, Farreaching, ذو نفوذ، متنفّذ
27224, Farrell, فاريل
27225, Farrow, صغير الخنزير
27226, Farrowed, مخنّص
27227, Farrowing, التخنيص
27228, Farrows, صغار الخنزير
27229, Farseeing, بعيد النظر
27230, Farsi, الفارسيّة، شخص من أصل إيرانيّ
27231, Farsighted, بعيد النظر
27232, Farsightedly, ببعد نظر
27233, Farsightedness, الحلم
27234, Fart, إخراج الرّيح
27235, Farther, على نحو إضافي
27236, Farthermost, أبعد
27237, Farthest, أبعد ما يكون
27238, Farthing, ربع البنس
27239, Fascia, فاسيا
27240, Fasciae, فاسيا
27241, Fasciated, مربوط
27242, Fascicle, قسم من الكتاب
27243, Fascicled, محزّم بحزمة صغيرة
27244, Fascicles, الحُزَم
27245, Fascicular, متعلّق بالحزمة
27246, Fasciculate, يحزّم
27247, Fasciculated, محزّم
27248, Fasciculation, التحزّم
27249, Fasciculations, التحزّم
27250, Fascicule, حزمة صغيرة
27251, Fascicules, الحزم الصغيرة
27252, Fascinate, إسحر
27253, Fascinated, مسحور
27254, Fascinates, يسحر
27255, Fascinating, السحر
27256, Fascinatingly, بشكل مسحور
27257, Fascination, السحر
27258, Fascinations, السحر
27259, Fascism, الفاشية
27260, Fascist, الفاشي
27261, Fascistic, فاشي
27262, Fascistically, بصورة فاشيّة
27263, Fascists, الفاشيون
27264, Fashion, الأسلوب
27265, Fashionable, عصري
27266, Fashionableness, اﻷناقة
27267, Fashionably, عصريا
27268, Fashioned, مصمّم
27269, Fashioner, المصمم
27270, Fashioners, المصممون
27271, Fashioning, التصميم
27272, Fashionmonger, المرشد في اﻷناقة
27273, Fashions, الأزياء
27274, Fast, يصوم، سريع
27275, Fast-Fusion, الإنشطار السريع
27276, Fastback, سيّارة بسقف منحني حتى مؤخِّرتها
27277, Fasted, صام
27278, Fasten, إربط
27279, Fastened, مربوط
27280, Fastener, السحّابة
27281, Fasteners, السحّابات
27282, Fastening, الربط
27283, Fastenings, الأربطة
27284, Fastens, يربط
27285, Faster, أسرع
27286, Fastest, أسرع
27287, Fastidious, صعب
27288, Fastidiously, على نحو صعب
27289, Fastidiousness, الصعوبة
27290, Fasting, الصوم
27291, Fastness, الثبات
27292, Fasts, يصوم
27293, Fat, الدهن
27294, Fatal, قاتل
27295, Fatalism, الجبرية
27296, Fatalist, الجبري
27297, Fatalistic, جبري
27298, Fatalistically, جبريا
27299, Fatalists, الجبريون
27300, Fatalities, الضحايا
27301, Fatality, الضحيّة
27302, Fatally, حتى الموت
27303, Fate, المصير
27304, Fated, مقدّر
27305, Fateful, حاسم
27306, Fatefully, بشكل كارثي
27307, Fatefulness, الشؤم
27308, Fates, المصير
27309, Father, الأبّ
27310, Fathered, أصبح أبّا له
27311, Fatherhood, الإبوة
27312, Fatherhoods, الإبوة
27313, Fathering, الصبح أبّا لـ
27314, Fatherland, أرض الأجداد
27315, Fatherless, يتيم
27316, Fatherliness, اﻷبوّة
27317, Fatherly, أبوي
27318, Fathers, الآباء
27319, Fathersinlaw, أبو الزوجة أو الزوج
27320, Fathom, القامة
27321, Fathomable, قابل للقياس
27322, Fathomed, مفهوم
27323, Fathoming, الفهم
27324, Fathoms, القامات
27325, Fatigue, الإعياء
27326, Fatigue-proof, ضدّ الإعياء
27327, Fatigued, مرهق
27328, Fatigues, الإعياء
27329, Fatiguing, التعب
27330, Fatiguingly, بشكل متعوب
27331, Fatima, فاطمة
27332, Fatless, بدون شحم
27333, Fatly, بشكل سمين
27334, Fatness, السمنة
27335, Fats, الدهون
27336, Fatso, بدين، سمين
27337, Fatstock, الماشية السّمينة
27338, Fatted, أسمن
27339, Fatten, سمّن
27340, Fattened, مسمّن
27341, Fattener, المسمّن
27342, Fatteners, المسمّنات
27343, Fattening, التسمين
27344, Fattens, يسمّن
27345, Fatter, أسمن
27346, Fattest, أسمن
27347, Fattier, أسمن
27348, Fatties, المملوئين
27349, Fattiest, أسمن
27350, Fattily, ببدانة
27351, Fattiness, السمنة
27352, Fatting, السّمنة
27353, Fatty, سمين
27354, Fatuity, الحماقة
27355, Fatuous, أحمق
27356, Fatuously, بشكل أحمق
27357, Fatuousness, السخافة
27358, Faucet, الحنفية
27359, Faucets, الحنفيات
27360, Faulkner, فولكنر
27361, Faulknerian, الفولكنريون
27362, Fault, العيب
27363, Fault-prone, إنتقد منكفئا
27364, Faulted, إنتقد
27365, Faultfinder, الناقد
27366, Faultfinding, التعييب
27367, Faultier, معيب
27368, Faultiest, معيب
27369, Faultily, بشكل خاطئ
27370, Faultiness, العيب
27371, Faulting, الإنتقاد
27372, Faultless, لا عيب فيه
27373, Faultlessly, بشكل تام
27374, Faultlessness, الكمال
27375, Faults, العيوب
27376, Faulty, معيب
27377, Faun, إله الغابات
27378, Fauna, الحيوانات
27379, Fauntleroy, الولد المهندم و المهذّب
27380, Faust, فوست
27381, Faustian, متعلق ب فاوست
27382, Faustus, فاوست
27383, Fauteuil, الكرسي
27384, Favor, الإحسان
27385, Favorability, الأفضلية
27386, Favorable, مناسب
27387, Favorableness, التفضيل
27388, Favorably, إيجابيا
27389, Favored, مفضّل
27390, Favoredly, بشكل مستحسن
27391, Favoredness, التفضيل
27392, Favorer, المفضّل
27393, Favorers, المفضّلون
27394, Favoring, التفضيل
27395, Favoringly, بشكل مستحسن
27396, Favorite, مفضّل
27397, Favorites, الأشياء المفضّلة
27398, Favoritism, التفضيلية
27399, Favoritisms, التفضيلية
27400, Favors, الحسنات
27401, Favour, الإحسان
27402, Favourable, مناسب
27403, Favourably, إيجابيا
27404, Favoured, مفضّل
27405, Favouring, التفضيل
27406, Favourite, مفضّل
27407, Fawkes, فوكيز
27408, Fawn, الظبي
27409, Fawned, متودّد
27410, Fawner, فاونير
27411, Fawning, التودّد
27412, Fawningly, بتودد
27413, Fawns, الظبيان
27414, Fax, الفاكس
27415, Faxes, الفاكسات
27416, Fay, الجنية
27417, Fayette, فايت
27418, Fayetteville, فايتيفيل
27419, Faze, أزعج
27420, Fazed, منزعج
27421, Fazes, يزعج
27422, Fazing, الإزعاج
27423, FBI, مكتب التحقيقات الفدرالي
27424, Fcb, جزء إدارة الملف
27425, FCC, لجنة الاتّصالات الفدراليّة
27426, FDA, وكالة العقار الفدرالي
27427, Fe, الحديد كيمياء
27428, Fealty, الولاء
27429, Fear, الخوف
27430, Feared, مخيف
27431, Fearer, الخائف
27432, Fearful, خائف
27433, Fearfully, بتخوف
27434, Fearfulness, الخوف
27435, Fearing, الخوف
27436, Fearless, جريئ
27437, Fearlessly, بلا خوف
27438, Fearlessness, الشجاعة
27439, Fears, المخاوف
27440, Fearsome, مفزع
27441, Fearsomely, بشكل مفزع
27442, Fearsomeness, الرهبة
27443, Feasable, فيسابل
27444, Feasibility, العملية
27445, Feasible, عملي
27446, Feasibleness, الجدوى
27447, Feasibly, بشكل ممكن
27448, Feast, العيد
27449, Feasted, ممتّع
27450, Feaster, فيستر
27451, Feastful, إحتفالي
27452, Feasting, التمتّع
27453, Feasts, الأعياد
27454, Feat, المفخرة
27455, Feather, الريشة
27456, Featherbed, الفراش الريشي
27457, Featherbedded, كدّس العمّال أكثر من إحتياجات العمل
27458, Featherbedding, البطالة المقنّعة
27459, Featherbeds, الأفرشة الريشية
27460, Featherbrain, الغبي
27461, Featherbrained, الغبي
27462, Feathered, مريّش
27463, Feathering, الترييش
27464, Feathers, الريش
27465, Feathertop, فيثيرتوب - نبات أفريقي
27466, Featherweight, وزن الريشة
27467, Feathery, ريشي
27468, Featly, رشيق
27469, Feats, المفاخر
27470, Feature, الميزّة
27471, Featured, عرض
27472, Featureless, عديم الشكل
27473, Features, الميزّات
27474, Featuring, العرض
27475, Feb, فبراير/شباط
27476, Febrile, حمّي
27477, Februaries, جمع \\فبراير\\
27478, February, فبراير/شباط
27479, Fecal, برازي
27480, Feces, الغائط
27481, Feckless, ضعيف
27482, Fecklessly, بشكل ضعيف
27483, Fecund, خصب
27484, Fecundability, القابلية للحمل
27485, Fecundated, ملقّح
27486, Fecundates, يلقّح
27487, Fecundity, الخصب
27488, Fecundly, بشكل خصب
27489, Fed, المصرف الإحتياطي الفدرالي
27490, Fedders, فيديرس
27491, Federal, إتحادي
27492, Federalism, الإتحادية
27493, Federalist, الإتحادي
27494, Federalists, الإتحاديون
27495, Federalize, وحّد
27496, Federalized, موحّد
27497, Federalizes, يوحّد
27498, Federalizing, التوحيد
27499, Federally, بشكل إتحادي
27500, Federals, الفيدراليون
27501, Federate, متّحد
27502, Federated, موحّد
27503, Federates, يوحّد
27504, Federating, التوحيد
27505, Federation, الإتحاد
27506, Federations, الإتحادات
27507, Federative, إتحادي
27508, Federatively, بشكل إتحادي
27509, Fedora, فيدورا قبّعة صغيرة
27510, Fedoras, فيدورا قبّعات صغيرة
27511, Feds, المحقّقون الإتّحاديون
27512, Fee, الأجر
27513, Feeble, ضعيف
27514, Feebleminded, ضعيف العقل
27515, Feeblemindedly, بضعف في العقل
27516, Feeblemindedness, ضعف العقل
27517, Feebleness, الضعف
27518, Feebler, أضعف
27519, Feeblest, أضعف
27520, Feebly, بضعف
27521, Feed, الغذاء
27522, Feedback, الردّ
27523, Feedbacks, الردود
27524, Feeded, فيديد
27525, Feeder, الطاعم
27526, Feeders, الطاعمون
27527, Feeding, الإطعام
27528, Feedings, الإطعام
27529, Feeds, الأطعمة
27530, Feel, الملمس
27531, Feeler, اللامس
27532, Feelers, اللوامس
27533, Feeling, الشعور
27534, Feelingly, بشكل حسّاس
27535, Feelingness, الإحساس
27536, Feelings, المشاعر
27537, Feels, يشعر
27538, Feeney, فيني
27539, Fees, الأجور
27540, Feet, الأقدام
27541, Feign, إختلق
27542, Feigned, مختلق
27543, Feignedly, بتلفيق
27544, Feigner, الملفّق
27545, Feigning, الإختلاق
27546, Feigns, يختلق
27547, Feint, الخدعة
27548, Feinted, مخدوع
27549, Feinting, الخدع
27550, Feints, الخدع
27551, Felder, فيلدر
27552, Feldman, فيلدمان
27553, Feldspar, الفلسبار
27554, Felice, فيليس
27555, Felicia, فيليسيا
27556, Felicitate, هنّئ
27557, Felicitated, مهنّأ
27558, Felicitates, يهنّئ
27559, Felicitating, التهنئة
27560, Felicitation, التهنئة
27561, Felicities, الهناء
27562, Felicitous, سعيد
27563, Felicitously, بشكل سعيد
27564, Felicitousness, السعادة
27565, Felicity, فيليسيتي
27566, Feline, الماكر
27567, Felinely, بشكل سنوري
27568, Felines, الماكرون
27569, Felix, فيليكس
27570, Fell, أسقط
27571, Fella, فيلا
27572, Fellas, رجال، أولاد
27573, Fellatio, الإثارة الجنسية للعضو الذكري عن طريق الفم
27574, Felled, مسقط
27575, Feller, قاطع الأشجار
27576, Fellers, قاطعو الأشجار
27577, Felling, الإسقاط
27578, Fellini, فيليني
27579, Fellness, القسوة
27580, Felloe, الإطار
27581, Fellow, الشخص
27582, Fellowly, بشكل زميل
27583, Fellows, الأشخاص
27584, Fellowship, الزمالة
27585, Fellowships, الزمالات
27586, Fells, الجلود
27587, Felly, العجلة
27588, Felon, المجرم
27589, Felonies, الجرائم
27590, Felonious, شرّير
27591, Feloniously, بشكل شرّير
27592, Feloniousness, الإجرام
27593, Felons, المجرمون
27594, Felony, الجريمة
27595, Felsite, فيلسيت - نوع من الصّخور
27596, Felt, لبّد
27597, Felt-tip, أحسّ رأسا
27598, Felted, ملبّد
27599, Felting, التلبيد
27600, Felts, اللبّادات
27601, Female, الأنثى
27602, Femaleness, الأنوثة
27603, Females, الإناث
27604, Feminine, المؤنّث
27605, Femininely, أنثويا
27606, Feminineness, الأنوثة
27607, Femininity, الأنوثة
27608, Feminism, مساواة الجنسين
27609, Feminist, المؤمن بمساواة الجنسين
27610, Feminists, المؤمنون بمساواة الجنسين
27611, Feminity, الأنوثة
27612, Femme, إمرأة
27613, Femmes, نساء
27614, Femora, عظام الفخذ
27615, Femoral, فخذي
27616, Femur, عظم الفخذ
27617, Femurs, عظام الفخذ
27618, Fen, الفين
27619, Fence, السياج
27620, Fenced, مسيّج
27621, Fencer, المبارز
27622, Fencers, المبارزون
27623, Fences, الأسيجة
27624, Fencing, المبارزة
